,Date,League,Get,Pay,Value,Confidence,StartDate,DayOfLeague,WeekOfLeague
0,2018-12-07,Betrayal,Exalted Orb,Chaos Orb,19.34105,High,2018-12-07,1,1
1,2018-12-08,Betrayal,Exalted Orb,Chaos Orb,41.0,High,2018-12-07,2,1
2,2018-12-09,Betrayal,Exalted Orb,Chaos Orb,58.0,High,2018-12-07,3,1
3,2018-12-10,Betrayal,Exalted Orb,Chaos Orb,72.0,High,2018-12-07,4,1
4,2018-12-11,Betrayal,Exalted Orb,Chaos Orb,74.72035,High,2018-12-07,5,1
5,2018-12-12,Betrayal,Exalted Orb,Chaos Orb,87.0,High,2018-12-07,6,1
6,2018-12-13,Betrayal,Exalted Orb,Chaos Orb,93.15538,High,2018-12-07,7,1
7,2018-12-14,Betrayal,Exalted Orb,Chaos Orb,97.0,High,2018-12-07,8,2
8,2018-12-15,Betrayal,Exalted Orb,Chaos Orb,99.0,High,2018-12-07,9,2
9,2018-12-16,Betrayal,Exalted Orb,Chaos Orb,97.0,High,2018-12-07,10,2
10,2018-12-17,Betrayal,Exalted Orb,Chaos Orb,99.0,High,2018-12-07,11,2
11,2018-12-18,Betrayal,Exalted Orb,Chaos Orb,110.0,High,2018-12-07,12,2
12,2018-12-19,Betrayal,Exalted Orb,Chaos Orb,120.0,High,2018-12-07,13,2
13,2018-12-20,Betrayal,Exalted Orb,Chaos Orb,124.97773,High,2018-12-07,14,2
14,2018-12-21,Betrayal,Exalted Orb,Chaos Orb,131.5842,High,2018-12-07,15,3
15,2018-12-22,Betrayal,Exalted Orb,Chaos Orb,135.0,High,2018-12-07,16,3
16,2018-12-23,Betrayal,Exalted Orb,Chaos Orb,136.8647,High,2018-12-07,17,3
17,2018-12-24,Betrayal,Exalted Orb,Chaos Orb,145.0,High,2018-12-07,18,3
18,2018-12-25,Betrayal,Exalted Orb,Chaos Orb,154.0,High,2018-12-07,19,3
19,2018-12-26,Betrayal,Exalted Orb,Chaos Orb,159.0,High,2018-12-07,20,3
20,2018-12-27,Betrayal,Exalted Orb,Chaos Orb,140.0,High,2018-12-07,21,3
21,2018-12-28,Betrayal,Exalted Orb,Chaos Orb,140.0,High,2018-12-07,22,4
22,2018-12-29,Betrayal,Exalted Orb,Chaos Orb,144.0,High,2018-12-07,23,4
23,2018-12-30,Betrayal,Exalted Orb,Chaos Orb,145.01562,High,2018-12-07,24,4
24,2018-12-31,Betrayal,Exalted Orb,Chaos Orb,150.0,High,2018-12-07,25,4
25,2019-01-01,Betrayal,Exalted Orb,Chaos Orb,155.0,High,2018-12-07,26,4
26,2019-01-02,Betrayal,Exalted Orb,Chaos Orb,160.0,High,2018-12-07,27,4
27,2019-01-03,Betrayal,Exalted Orb,Chaos Orb,163.08505,High,2018-12-07,28,4
28,2019-01-04,Betrayal,Exalted Orb,Chaos Orb,163.0,High,2018-12-07,29,5
29,2019-01-05,Betrayal,Exalted Orb,Chaos Orb,164.0,High,2018-12-07,30,5
30,2019-01-06,Betrayal,Exalted Orb,Chaos Orb,165.0,High,2018-12-07,31,5
31,2019-01-07,Betrayal,Exalted Orb,Chaos Orb,166.0,High,2018-12-07,32,5
32,2019-01-08,Betrayal,Exalted Orb,Chaos Orb,170.0,High,2018-12-07,33,5
33,2019-01-09,Betrayal,Exalted Orb,Chaos Orb,172.005,High,2018-12-07,34,5
34,2019-01-10,Betrayal,Exalted Orb,Chaos Orb,173.0,High,2018-12-07,35,5
35,2019-01-11,Betrayal,Exalted Orb,Chaos Orb,172.0,High,2018-12-07,36,6
36,2019-01-12,Betrayal,Exalted Orb,Chaos Orb,170.0,High,2018-12-07,37,6
37,2019-01-13,Betrayal,Exalted Orb,Chaos Orb,170.0,High,2018-12-07,38,6
38,2019-01-14,Betrayal,Exalted Orb,Chaos Orb,171.0,High,2018-12-07,39,6
39,2019-01-15,Betrayal,Exalted Orb,Chaos Orb,173.0,High,2018-12-07,40,6
40,2019-01-16,Betrayal,Exalted Orb,Chaos Orb,175.0,High,2018-12-07,41,6
41,2019-01-17,Betrayal,Exalted Orb,Chaos Orb,180.0,High,2018-12-07,42,6
42,2019-01-18,Betrayal,Exalted Orb,Chaos Orb,183.4816,High,2018-12-07,43,7
43,2019-01-19,Betrayal,Exalted Orb,Chaos Orb,190.0,High,2018-12-07,44,7
44,2019-01-20,Betrayal,Exalted Orb,Chaos Orb,192.72587,High,2018-12-07,45,7
45,2019-01-21,Betrayal,Exalted Orb,Chaos Orb,180.0,High,2018-12-07,46,7
46,2019-01-22,Betrayal,Exalted Orb,Chaos Orb,175.0,High,2018-12-07,47,7
47,2019-01-23,Betrayal,Exalted Orb,Chaos Orb,180.0,High,2018-12-07,48,7
48,2019-01-24,Betrayal,Exalted Orb,Chaos Orb,185.0,High,2018-12-07,49,7
49,2019-01-25,Betrayal,Exalted Orb,Chaos Orb,190.0,High,2018-12-07,50,8
50,2019-01-26,Betrayal,Exalted Orb,Chaos Orb,192.27054,High,2018-12-07,51,8
51,2019-01-27,Betrayal,Exalted Orb,Chaos Orb,193.06092,High,2018-12-07,52,8
52,2019-01-28,Betrayal,Exalted Orb,Chaos Orb,193.57179,High,2018-12-07,53,8
53,2019-01-29,Betrayal,Exalted Orb,Chaos Orb,195.0,High,2018-12-07,54,8
54,2019-01-30,Betrayal,Exalted Orb,Chaos Orb,195.79593,High,2018-12-07,55,8
55,2019-01-31,Betrayal,Exalted Orb,Chaos Orb,197.0,High,2018-12-07,56,8
56,2019-02-01,Betrayal,Exalted Orb,Chaos Orb,196.0,High,2018-12-07,57,9
