Date,League,Get,Pay,Value,Confidence,StartDate,DayOfLeague,WeekOfLeague
2018-12-07,Betrayal,Exalted Orb,Chaos Orb,19.34105,High,2018-12-07,1,1
2018-12-08,Betrayal,Exalted Orb,Chaos Orb,41.0,High,2018-12-07,2,1
2018-12-09,Betrayal,Exalted Orb,Chaos Orb,58.0,High,2018-12-07,3,1
2018-12-10,Betrayal,Exalted Orb,Chaos Orb,72.0,High,2018-12-07,4,1
2018-12-11,Betrayal,Exalted Orb,Chaos Orb,74.72035,High,2018-12-07,5,1
2018-12-12,Betrayal,Exalted Orb,Chaos Orb,87.0,High,2018-12-07,6,1
2018-12-13,Betrayal,Exalted Orb,Chaos Orb,93.15538,High,2018-12-07,7,1
2018-12-14,Betrayal,Exalted Orb,Chaos Orb,97.0,High,2018-12-07,8,2
2018-12-15,Betrayal,Exalted Orb,Chaos Orb,99.0,High,2018-12-07,9,2
2018-12-16,Betrayal,Exalted Orb,Chaos Orb,97.0,High,2018-12-07,10,2
2018-12-17,Betrayal,Exalted Orb,Chaos Orb,99.0,High,2018-12-07,11,2
2018-12-18,Betrayal,Exalted Orb,Chaos Orb,110.0,High,2018-12-07,12,2
2018-12-19,Betrayal,Exalted Orb,Chaos Orb,120.0,High,2018-12-07,13,2
2018-12-20,Betrayal,Exalted Orb,Chaos Orb,124.97773,High,2018-12-07,14,2
2018-12-21,Betrayal,Exalted Orb,Chaos Orb,131.5842,High,2018-12-07,15,3
2018-12-22,Betrayal,Exalted Orb,Chaos Orb,135.0,High,2018-12-07,16,3
2018-12-23,Betrayal,Exalted Orb,Chaos Orb,136.8647,High,2018-12-07,17,3
2018-12-24,Betrayal,Exalted Orb,Chaos Orb,145.0,High,2018-12-07,18,3
2018-12-25,Betrayal,Exalted Orb,Chaos Orb,154.0,High,2018-12-07,19,3
2018-12-26,Betrayal,Exalted Orb,Chaos Orb,159.0,High,2018-12-07,20,3
2018-12-27,Betrayal,Exalted Orb,Chaos Orb,140.0,High,2018-12-07,21,3
2018-12-28,Betrayal,Exalted Orb,Chaos Orb,140.0,High,2018-12-07,22,4
2018-12-29,Betrayal,Exalted Orb,Chaos Orb,144.0,High,2018-12-07,23,4
2018-12-30,Betrayal,Exalted Orb,Chaos Orb,145.01562,High,2018-12-07,24,4
2018-12-31,Betrayal,Exalted Orb,Chaos Orb,150.0,High,2018-12-07,25,4
