Date,League,Get,Pay,Value,Confidence
2018-12-07,Betrayal,Exalted Orb,Chaos Orb,19.34105,High
2018-12-08,Betrayal,Exalted Orb,Chaos Orb,41.0,High
2018-12-09,Betrayal,Exalted Orb,Chaos Orb,58.0,High
2018-12-10,Betrayal,Exalted Orb,Chaos Orb,72.0,High
2018-12-11,Betrayal,Exalted Orb,Chaos Orb,74.72035,High
2018-12-12,Betrayal,Exalted Orb,Chaos Orb,87.0,High
2018-12-13,Betrayal,Exalted Orb,Chaos Orb,93.15538,High
2018-12-14,Betrayal,Exalted Orb,Chaos Orb,97.0,High
2018-12-15,Betrayal,Exalted Orb,Chaos Orb,99.0,High
2018-12-16,Betrayal,Exalted Orb,Chaos Orb,97.0,High
2018-12-17,Betrayal,Exalted Orb,Chaos Orb,99.0,High
2018-12-18,Betrayal,Exalted Orb,Chaos Orb,110.0,High
2018-12-19,Betrayal,Exalted Orb,Chaos Orb,120.0,High
2018-12-20,Betrayal,Exalted Orb,Chaos Orb,124.97773,High
2018-12-21,Betrayal,Exalted Orb,Chaos Orb,131.5842,High
2018-12-22,Betrayal,Exalted Orb,Chaos Orb,135.0,High
2018-12-23,Betrayal,Exalted Orb,Chaos Orb,136.8647,High
2018-12-24,Betrayal,Exalted Orb,Chaos Orb,145.0,High
2018-12-25,Betrayal,Exalted Orb,Chaos Orb,154.0,High
2018-12-26,Betrayal,Exalted Orb,Chaos Orb,159.0,High
2018-12-27,Betrayal,Exalted Orb,Chaos Orb,140.0,High
2018-12-28,Betrayal,Exalted Orb,Chaos Orb,140.0,High
2018-12-29,Betrayal,Exalted Orb,Chaos Orb,144.0,High
2018-12-30,Betrayal,Exalted Orb,Chaos Orb,145.01562,High
2018-12-31,Betrayal,Exalted Orb,Chaos Orb,150.0,High
2019-01-01,Betrayal,Exalted Orb,Chaos Orb,155.0,High
2019-01-02,Betrayal,Exalted Orb,Chaos Orb,160.0,High
2019-01-03,Betrayal,Exalted Orb,Chaos Orb,163.08505,High
2019-01-04,Betrayal,Exalted Orb,Chaos Orb,163.0,High
2019-01-05,Betrayal,Exalted Orb,Chaos Orb,164.0,High
2019-01-06,Betrayal,Exalted Orb,Chaos Orb,165.0,High
2019-01-07,Betrayal,Exalted Orb,Chaos Orb,166.0,High
2019-01-08,Betrayal,Exalted Orb,Chaos Orb,170.0,High
2019-01-09,Betrayal,Exalted Orb,Chaos Orb,172.005,High
2019-01-10,Betrayal,Exalted Orb,Chaos Orb,173.0,High
2019-01-11,Betrayal,Exalted Orb,Chaos Orb,172.0,High
2019-01-12,Betrayal,Exalted Orb,Chaos Orb,170.0,High
2019-01-13,Betrayal,Exalted Orb,Chaos Orb,170.0,High
2019-01-14,Betrayal,Exalted Orb,Chaos Orb,171.0,High
2019-01-15,Betrayal,Exalted Orb,Chaos Orb,173.0,High
2019-01-16,Betrayal,Exalted Orb,Chaos Orb,175.0,High
2019-01-17,Betrayal,Exalted Orb,Chaos Orb,180.0,High
2019-01-18,Betrayal,Exalted Orb,Chaos Orb,183.4816,High
2019-01-19,Betrayal,Exalted Orb,Chaos Orb,190.0,High
2019-01-20,Betrayal,Exalted Orb,Chaos Orb,192.72587,High
2019-01-21,Betrayal,Exalted Orb,Chaos Orb,180.0,High
2019-01-22,Betrayal,Exalted Orb,Chaos Orb,175.0,High
2019-01-23,Betrayal,Exalted Orb,Chaos Orb,180.0,High
2019-01-24,Betrayal,Exalted Orb,Chaos Orb,185.0,High
2019-01-25,Betrayal,Exalted Orb,Chaos Orb,190.0,High
2019-01-26,Betrayal,Exalted Orb,Chaos Orb,192.27054,High
2019-01-27,Betrayal,Exalted Orb,Chaos Orb,193.06092,High
2019-01-28,Betrayal,Exalted Orb,Chaos Orb,193.57179,High
2019-01-29,Betrayal,Exalted Orb,Chaos Orb,195.0,High
2019-01-30,Betrayal,Exalted Orb,Chaos Orb,195.79593,High
2019-01-31,Betrayal,Exalted Orb,Chaos Orb,197.0,High
2019-02-01,Betrayal,Exalted Orb,Chaos Orb,196.0,High
2019-02-02,Betrayal,Exalted Orb,Chaos Orb,193.505,High
2019-02-03,Betrayal,Exalted Orb,Chaos Orb,190.0,High
2019-02-04,Betrayal,Exalted Orb,Chaos Orb,186.0,High
2019-02-05,Betrayal,Exalted Orb,Chaos Orb,175.0,High
2019-02-06,Betrayal,Exalted Orb,Chaos Orb,174.97848,High
2019-02-07,Betrayal,Exalted Orb,Chaos Orb,186.0,High
2019-02-08,Betrayal,Exalted Orb,Chaos Orb,188.0,High
2019-02-09,Betrayal,Exalted Orb,Chaos Orb,184.9433,High
2019-02-10,Betrayal,Exalted Orb,Chaos Orb,178.70589,High
2019-02-11,Betrayal,Exalted Orb,Chaos Orb,177.0,High
2019-02-12,Betrayal,Exalted Orb,Chaos Orb,175.0,High
2019-02-13,Betrayal,Exalted Orb,Chaos Orb,175.0,High
2019-02-14,Betrayal,Exalted Orb,Chaos Orb,174.0,High
2019-02-15,Betrayal,Exalted Orb,Chaos Orb,171.54701,High
2019-02-16,Betrayal,Exalted Orb,Chaos Orb,170.0,High
2019-02-17,Betrayal,Exalted Orb,Chaos Orb,166.0,High
2019-02-18,Betrayal,Exalted Orb,Chaos Orb,163.0,High
2019-02-19,Betrayal,Exalted Orb,Chaos Orb,158.9868,High
2019-02-20,Betrayal,Exalted Orb,Chaos Orb,154.0,High
2019-02-21,Betrayal,Exalted Orb,Chaos Orb,158.0,High
2019-02-22,Betrayal,Exalted Orb,Chaos Orb,159.0,High
2019-02-23,Betrayal,Exalted Orb,Chaos Orb,158.0,High
2019-02-24,Betrayal,Exalted Orb,Chaos Orb,157.0,High
2019-02-25,Betrayal,Exalted Orb,Chaos Orb,157.12519,High
2019-02-26,Betrayal,Exalted Orb,Chaos Orb,157.76603,High
2019-02-27,Betrayal,Exalted Orb,Chaos Orb,159.87462,High
2019-02-28,Betrayal,Exalted Orb,Chaos Orb,159.0,High
2019-03-01,Betrayal,Exalted Orb,Chaos Orb,160.0,High
2019-03-02,Betrayal,Exalted Orb,Chaos Orb,160.0,High
2019-03-03,Betrayal,Exalted Orb,Chaos Orb,159.31158,High
2019-03-04,Betrayal,Exalted Orb,Chaos Orb,160.0,High
2019-03-05,Betrayal,Exalted Orb,Chaos Orb,160.0,High
2016-12-02,Breach,Exalted Orb,Chaos Orb,86.5,Low
2016-12-03,Breach,Exalted Orb,Chaos Orb,40.00526,High
2016-12-04,Breach,Exalted Orb,Chaos Orb,44.63661,High
2016-12-05,Breach,Exalted Orb,Chaos Orb,52.41607,High
2016-12-06,Breach,Exalted Orb,Chaos Orb,55.52644,High
2016-12-07,Breach,Exalted Orb,Chaos Orb,57.80439,High
2016-12-08,Breach,Exalted Orb,Chaos Orb,59.93464,High
2016-12-09,Breach,Exalted Orb,Chaos Orb,62.13554,High
2016-12-10,Breach,Exalted Orb,Chaos Orb,64.86616,High
2016-12-11,Breach,Exalted Orb,Chaos Orb,65.70255,High
2016-12-12,Breach,Exalted Orb,Chaos Orb,67.29364,High
2016-12-13,Breach,Exalted Orb,Chaos Orb,69.00714,High
2016-12-14,Breach,Exalted Orb,Chaos Orb,71.19107,High
2016-12-15,Breach,Exalted Orb,Chaos Orb,71.39211,High
2016-12-16,Breach,Exalted Orb,Chaos Orb,71.575,High
2016-12-17,Breach,Exalted Orb,Chaos Orb,71.14125,High
2016-12-18,Breach,Exalted Orb,Chaos Orb,70.70909,High
2016-12-19,Breach,Exalted Orb,Chaos Orb,70.21667,High
2016-12-20,Breach,Exalted Orb,Chaos Orb,70.0,High
2016-12-21,Breach,Exalted Orb,Chaos Orb,70.17273,High
2016-12-22,Breach,Exalted Orb,Chaos Orb,70.74864,High
2016-12-23,Breach,Exalted Orb,Chaos Orb,70.05702,High
2016-12-24,Breach,Exalted Orb,Chaos Orb,70.32397,High
2016-12-25,Breach,Exalted Orb,Chaos Orb,70.50509,High
2016-12-26,Breach,Exalted Orb,Chaos Orb,70.98481,High
2016-12-27,Breach,Exalted Orb,Chaos Orb,70.62164,High
2016-12-28,Breach,Exalted Orb,Chaos Orb,70.44364,High
2016-12-29,Breach,Exalted Orb,Chaos Orb,70.30873,High
2016-12-30,Breach,Exalted Orb,Chaos Orb,70.0,High
2016-12-31,Breach,Exalted Orb,Chaos Orb,69.82934,High
2017-01-01,Breach,Exalted Orb,Chaos Orb,69.0,High
2017-01-02,Breach,Exalted Orb,Chaos Orb,69.0,High
2017-01-03,Breach,Exalted Orb,Chaos Orb,68.05982,High
2017-01-04,Breach,Exalted Orb,Chaos Orb,67.13696,High
2017-01-05,Breach,Exalted Orb,Chaos Orb,65.63273,High
2017-01-06,Breach,Exalted Orb,Chaos Orb,62.70909,High
2017-01-07,Breach,Exalted Orb,Chaos Orb,60.6,High
